state,name,female_2010,women_16_to_50_birth_rate_2017,hs_grad_2017,some_college_2017,bachelors_2017,mean_work_travel_2017,broadband_2017,computer_2017,homeownership_2010,persons_per_household_2017,metro_2013,fed_spending_2009,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,unemployment_rate_2016,avg_family_size_2019
Alaska,Dillingham Census Area,47.6,8.7,86.4,30.4,17.4,8.6,72.2,81.6,60.7,3.32,0,55276,16.6,26.3,23.3,9.7,3.72
Alaska,Fairbanks North Star Borough,47.2,8.6,94.6,39.8,33.1,18.9,82,93.8,59.8,2.63,1,1644275,7.7,11.2,9.7,5.92,3.15
Alaska,Haines Borough,49.2,1.3,96.6,33.4,34.7,7.1,77.2,93.5,74.5,2.27,0,28489,8.4,7,20.5,10.31,2.97
Alaska,Hoonah Angoon Census Area,45.8,7.7,90.3,31.2,21.9,9.7,72.1,83.5,64,2.48,0,51936,11.1,42.9,24,11.93,3.14
Alaska,Juneau City and Borough,49,3.5,96,35.3,40.3,15.6,87.8,94.5,64,2.59,0,1175633,7.4,22.5,11.8,4.52,3.09
Alaska,Kenai Peninsula Borough,47.6,4.9,92.6,37.2,24.1,20,75.8,89.4,72.7,2.58,0,360397,11,15.2,14,8.59,3.28
Alaska,Ketchikan Gateway Borough,48.7,6.9,91.9,37.4,24.1,13.4,81.8,91.2,59.1,2.55,0,809321,10.6,19.5,16,6.58,3.02
Alaska,Kodiak Island Borough,47,6.2,88.5,35.5,24.1,10.5,82.4,90,59.2,2.96,0,172657,9.3,20.4,12,5.19,3.62
Alaska,Kusilvak Census Area,47.1,NA,NA,NA,NA,NA,NA,NA,64.8,NA,NA,105266,NA,NA,NA,NA,4.95
Alaska,Lake and Peninsula Borough,47.3,6.2,87.7,26.6,16,6.7,60.3,82.8,75,2.96,0,17199,16.5,23,17.3,12.63,3.69
Alaska,Matanuska-Susitna Borough,48.3,4.9,92.1,39.4,20.6,34.5,85.2,93.4,79.2,3.24,1,434891,9.8,11.7,10.9,8.29,3.91
Alaska,Nome Census Area,46.7,9.7,84.9,27.4,14,7,67.6,85.5,56.2,3.25,0,246246,24.9,33.5,29.7,12.8,3.71
Alaska,North Slope Borough,37.4,11.1,88.4,33,15.3,6.1,67.9,84.4,48.3,3.28,0,78974,10.2,16.7,15.6,6.84,3.77
Alaska,Northwest Arctic Borough,46.4,12.3,80.7,23.5,10.8,6.5,66.8,79.9,53.7,4.01,0,97176,25.3,36.6,32.1,16.11,4.77
Alaska,Petersburg Borough,48,5.4,89.5,33.2,26.5,7.7,75.9,90.1,76.7,2.53,0,58260,7.8,12,8.1,9.08,3.36
Alaska,Prince of Wales-Hyder Census Area,44.8,8.3,90,35.4,16.8,16,67.9,86.1,69,2.75,0,56974,16,34.6,23.6,12.25,3.28
Alaska,Sitka City and Borough,49.5,3.4,93.5,34.1,32.9,10.4,80.4,92.1,55.9,2.4,0,99421,9.2,10.7,10.2,4.66,2.96
Alaska,Skagway,48.3,3.1,92.4,36.8,32.2,6.1,84.2,96.2,59.1,2.13,0,0,5.6,2.8,3.9,11.26,2.87
Alaska,Southeast Fairbanks Census Area,44.3,9,91.5,38.9,19.5,13.4,74.9,88.7,65.2,3.04,0,141904,13.9,26.1,19.2,10.82,3.8
Alaska,Valdez-Cordova Census Area,46.6,6.2,95.9,35.2,32.7,11,80.5,92.3,71.8,3.22,0,127855,7.4,7.1,5.6,8.65,3.55
Alaska,Wrangell,47.6,8.3,89,32.9,19.4,9.4,74.4,84.5,78.7,2.24,0,0,11.7,24.8,18.1,7.58,2.93
Alaska,Yakutat City and Borough,45.6,5,91.9,31.6,19.6,6.5,69.8,89,61.1,2.4,0,9994,6.2,14.6,10.1,8.57,3.57
Alaska,Yukon-Koyukuk Census Area,45.8,6.5,84.7,30.6,12.4,8.4,43.7,65.1,69.1,2.66,0,157083,25.5,43.1,32.3,17.98,3.55
Arizona,Apache County,50.1,6.3,78.6,34.1,11.5,26.7,38.6,54.8,76.3,3.59,0,1573639,35.9,50,45.1,11.45,4.42
Arizona,Cochise County,49,6.8,87.1,40.5,23.6,20.5,76.2,85.4,69,2.36,1,2487123,18.1,28.7,25.7,6.22,2.91
Arizona,Coconino County,50.4,4,89.7,33,35.4,18.4,75.3,87.5,61.2,2.65,1,1230202,21,26.1,22.9,6.01,3.33
Arizona,Gila County,50.3,7.2,85,38.5,19,18.7,61.6,79.1,78.3,2.42,0,618574,21.9,42.3,35.7,7.22,2.95
Arizona,Graham County,46.3,8.4,85.8,40.4,14.1,20.9,69.8,83.9,72,3.04,0,285323,21.4,31.5,28.3,6.72,3.7
Arizona,Greenlee County,47.9,10.2,89.7,40.6,12.1,17.8,75.7,88.2,46.9,2.76,0,59359,11.5,23.2,15.7,7.57,3.47
Arizona,La Paz County,48.5,5.4,77.2,29.1,11.2,12.9,57.7,73.7,75.4,2.3,0,172345,19.7,44.8,37.9,6.03,2.67
Arizona,Maricopa County,50.5,5.4,87.1,32.9,31.4,25.8,81.7,89.8,66.3,2.75,1,32502698,15.7,24.6,22.2,4.57,3.37
Arizona,Mohave County,50,5.7,84.7,36.8,12.3,20.4,75.9,84.8,71.5,2.39,1,1422615,18.6,30.1,27,6.61,2.84
Arizona,Navajo County,50,8.2,82.6,37.1,15.5,21.6,59.5,73.4,72.5,3.07,0,1177146,29.1,44.1,38.5,8.25,3.72
Arizona,Pima County,50.9,5.9,88.2,34.1,31.6,24.5,80.6,89.5,64.6,2.45,1,13270204,18.3,28.6,25.3,4.95,3.1
Arizona,Pinal County,47.5,5.6,85.2,36.8,18.6,31,77.3,86.4,77.7,2.85,1,1799122,15.5,25.1,21.4,5.53,3.43
Arizona,Santa Cruz County,52.4,5.9,75.4,26.8,22.1,23.5,68.2,79.8,71,2.95,0,445037,21.8,36.5,29.3,10.02,3.39
Arizona,Yavapai County,51,4.4,90.2,39.3,25,23.2,78.2,88.4,72.5,2.29,1,1615727,14.7,23.5,19.6,4.92,2.77
Arizona,Yuma County,49.9,7.5,71.6,31.4,14.3,19.6,73.1,81,69.6,2.77,1,1651299,19.7,26.8,27.9,18.8,3.26
Arkansas,Arkansas County,51.5,5.9,82.6,29.6,14.1,14.6,60.1,79.2,64.4,2.35,0,240068,20.7,39,27.9,3.38,2.94
Arkansas,Ashley County,51.5,5.1,83,28.1,13.4,20.4,59.4,75.5,72.4,2.52,0,215103,21.3,30.7,32.1,6.25,3.17
Arkansas,Baxter County,51.8,7.6,87.3,33.7,18.4,16.4,68.7,81.3,76.6,2.21,0,392298,12.6,29.7,16.6,4.26,2.71
Arkansas,Benton County,50.7,6.5,87.5,26.1,31.7,19.9,59.6,90.3,70.1,2.74,1,923179,10.5,16.1,14.1,2.9,3.18
Arkansas,Boone County,51,9.6,85.2,36.6,16.2,19.4,74.1,82.2,72.7,2.47,0,296431,15.8,36.4,22.8,3.65,2.93
Arkansas,Bradley County,51.5,5,81.4,24.8,14.4,22,55.5,72.4,70.2,2.36,0,123471,26.4,36.4,42,5.23,3.07
Arkansas,Calhoun County,49.3,2.1,84.2,24.2,12.3,24.4,53.3,73.3,82.1,2.45,0,268464,19.6,37.5,34.3,4.58,3.32
Arkansas,Carroll County,50.7,4.3,85.7,30.5,19.3,19.8,62.7,80.4,69.5,2.54,0,185213,15.7,29.8,23.1,3.53,3.04
Arkansas,Chicot County,50.9,8,80.2,26.2,13.2,21.8,56.3,71,69.6,2.38,0,192851,29.4,52.8,40.5,6.55,3.13
Arkansas,Clark County,52.3,5.1,88.2,30.1,26.4,21.3,61.5,76.6,67.6,2.23,0,210392,21.5,38.3,27.9,4.39,2.89
Arkansas,Clay County,51.1,6.4,78.5,26.6,10.7,23.3,59.6,73.3,74,2.34,0,186757,22.3,31.5,31.8,5.61,2.85
Arkansas,Cleburne County,50.8,5.4,84.4,29.3,15.9,26.1,67.7,79.3,77.9,2.35,0,232506,15.4,25.1,23.3,5.9,2.8
Arkansas,Cleveland County,50.7,4.8,87.3,25.2,17,29.6,52.9,78.6,78,2.5,1,65992,19.3,40.5,31.2,4.48,3.02
Arkansas,Columbia County,52.3,6.7,84.8,22.9,21.5,17.3,58.5,72.8,69.8,2.38,0,238163,25.1,28.8,34.6,5.68,3.18
Arkansas,Conway County,50.5,3.4,85.2,25.6,15.8,25.8,54.1,74.2,75.8,2.53,0,189584,18.5,31.6,27.3,5.69,3.09
Arkansas,Craighead County,51.2,4.9,88.3,28.5,26.5,18.5,77.7,87.6,61.2,2.52,1,652407,18.3,30.6,24.9,3.22,3.06
Arkansas,Crawford County,50.7,5.8,85.9,32.2,14.5,22.4,68,81.8,73,2.58,1,415944,16.6,20.4,23.7,3.87,3.09
Arkansas,Crittenden County,52.5,8.2,81.4,28.7,16.9,19.9,66.9,78,58.2,2.6,1,477663,23.5,45.4,36.8,4.49,3.18
Arkansas,Cross County,51.8,4.5,80.4,23,13.8,23.9,62.2,73.2,70.7,2.52,0,164284,18,32,27.4,4.39,2.99
Arkansas,Dallas County,51,2.7,83.1,26.6,14.1,27.5,53.1,72.4,70.5,2.21,0,113949,13.2,17.4,17.4,4.98,2.85
Arkansas,Desha County,53.1,7.6,77.4,23.7,12.6,19.3,46.1,73.1,59.1,2.3,0,161758,32.6,47.9,48.4,5.41,2.7
Arkansas,Drew County,51.5,6.6,83.2,26.6,18.5,21.7,63.3,78.3,67.5,2.5,0,161003,24.4,41.1,29.3,5.76,2.96
Arkansas,Faulkner County,50.9,5.3,91.2,31.1,29.7,24,74.5,88.1,66.4,2.66,1,583777,16.3,23.7,15.9,3.78,3.26
Arkansas,Franklin County,50.5,8,80.9,29.6,11.3,26.8,53.1,72,78.8,2.55,0,174846,21.9,31.6,31.6,4,3.21
Arkansas,Fulton County,51,6.7,84.5,32.9,12.1,23.3,60.4,81.7,79.6,2.33,0,108025,23,41.9,38.3,4.3,2.95
Arkansas,Garland County,51.5,4.5,88.2,37.2,20.1,21.9,72.6,84.3,70.1,2.39,1,976403,19.1,40.4,28.6,4.27,3.01
Arkansas,Grant County,50.3,6.5,90.1,28.6,19,29.7,68.7,87,80.3,2.62,1,147266,14.4,19.7,17.7,3.58,3.03
Arkansas,Greene County,51,7.7,86.6,28,16.1,20.3,72,84.5,65.7,2.59,0,281843,15.9,27.9,22.2,4.26,3.01
Arkansas,Hempstead County,51.8,7.2,80.1,28.1,13.1,19.9,61,73.3,68.4,2.75,0,189178,25.3,49.2,37.4,3.76,3.17
Arkansas,Hot Spring County,48.9,5.8,85.6,30.3,13.8,26.1,62.3,80.9,76,2.56,0,229485,15.8,21,19.2,3.92,2.98
Arkansas,Howard County,51.7,4.3,81.3,31.1,15.3,20.2,60.8,77,69.6,2.63,0,119972,21,39,36,3.25,3.19
Arkansas,Independence County,51,4.9,85.1,29.5,18,18.9,63.2,80.4,72.8,2.52,0,301757,18.5,31.2,27.6,4.92,3.02
Arkansas,Izard County,48.5,5.5,82.9,32.1,12.9,20.5,57.6,81.8,79.7,2.43,0,143416,17.7,48.1,28.5,5.57,3.36
Arkansas,Jackson County,50.4,5.1,77.4,25,9.2,19.1,57.2,70.6,69.8,2.31,0,217937,25.1,51.4,42.1,6.2,3
Arkansas,Jefferson County,50.8,5.2,85.3,30.3,16.8,20.9,53.8,79,64.4,2.39,1,1026132,24.7,46.8,39,5.57,3.06
Arkansas,Johnson County,50.4,8.2,79.5,20.4,15.7,20.5,59.5,75.4,68.8,2.56,0,162126,22.5,37.4,30.9,4.72,3.23
Arkansas,Lafayette County,51.7,5.5,80.7,24,15,25.1,50.3,64.1,79.2,2.42,0,85580,23.8,44.4,32.1,5.88,3.01
Arkansas,Lawrence County,51.4,6.5,84,28.9,15.5,26.1,59.7,74.6,67.2,2.46,0,233268,18.4,20.4,20.9,4.29,2.97
Arkansas,Lee County,44.3,19.4,70,22.3,8.4,20.8,45.3,66.9,66.3,2.25,0,145039,27.3,47.4,35.2,4.68,3.06
Arkansas,Lincoln County,39.9,11.1,80.3,20.1,7.9,25.1,56.1,72.8,69.3,2.31,1,124330,17.9,21,21.8,4.78,2.59
Arkansas,Little River County,51.4,3.1,85.1,34.5,10.3,24.8,61.4,78.3,71.2,2.33,1,108393,18.8,17.1,24.5,4.64,2.81
Arkansas,Logan County,49.9,9.6,83.8,27.4,12,25.6,66.1,79.3,79.1,2.56,0,192729,20.2,29.6,28.6,4.56,3
Arkansas,Lonoke County,50.8,7.4,88.5,34.1,20.1,27.3,74.5,85.8,74.4,2.7,1,417852,12.3,18.3,17,3.31,3.12
Arkansas,Madison County,49.9,6.4,79.6,22.2,11.6,31.7,58.7,74.6,75.3,2.56,1,111882,17.8,23.5,22.6,3.18,3.13
Arkansas,Marion County,50.2,6.8,86.2,32.6,16,22.1,70.1,80.6,81.6,2.43,0,134030,19.5,55.2,30.5,3.96,2.94
Arkansas,Miller County,50.8,5.6,85.1,32.5,15.8,18.4,70.5,82.8,66.3,2.49,1,351798,21,31.7,31.6,4.16,3.14
Arkansas,Mississippi County,51.6,8.3,82.3,31,12.2,17.8,60.8,77.9,59.9,2.48,0,451453,25.6,39.4,37.3,6.74,3.1
Arkansas,Monroe County,52.2,13.5,77.7,25.6,9.3,22,47.3,66.9,61.4,2.21,0,131138,28.6,58.3,46.6,4.78,2.7
Arkansas,Montgomery County,50.1,4.8,78.8,29.5,12.3,30,56.6,71.7,82.8,2.31,0,80330,18.1,22.8,29,5.15,2.87
Arkansas,Nevada County,51,9.5,85.8,24,17,29.9,46.7,63.7,71.3,2.42,0,98360,23,34.2,34.4,3.7,2.98
Arkansas,Newton County,49.5,2.4,81.1,24.7,15.7,30.5,54.7,71.8,79.7,2.49,0,72039,17.8,20.9,23.1,3.86,3.49
Arkansas,Ouachita County,52.6,6.6,85.2,27.8,15.3,22.2,53.3,66.3,69.8,2.4,0,313934,26,50.6,41,5.03,3.17
Arkansas,Perry County,50.4,5,83.4,30.1,12.9,33.3,62,79.3,81.7,2.74,1,79794,17.8,20.5,28.4,4.74,3.18
Arkansas,Phillips County,53.4,6.5,75.8,33.3,11.3,18.2,55.9,68.7,54.7,2.47,0,336695,33,65.2,53.3,5.85,3.13
Arkansas,Pike County,50.4,5.3,83.3,32,14.9,27.7,57.9,74.7,74.8,2.48,0,82475,17.3,31,22.7,4.26,3.01
Arkansas,Poinsett County,51.4,7.9,79.5,26.7,9.8,24,64.7,76.7,66.4,2.5,1,268205,21.4,41,34.6,4.26,2.91
Arkansas,Polk County,50.8,9,85.2,33,12.5,23,59.6,77.3,77.4,2.49,0,184652,26.6,39.8,35,4.86,2.91
Arkansas,Pope County,50.4,4.1,84,27.6,22.2,18.5,67.8,83.2,69.7,2.59,0,411424,19.8,28.5,24.1,4.58,3.26
Arkansas,Prairie County,50.5,9.1,82.8,26.6,13.8,26.8,48.8,72.5,72.6,2.09,0,93436,16.8,21.9,23.4,3.8,2.62
Arkansas,Pulaski County,51.9,6,90.4,30.2,33.7,20.3,73,84.2,60.4,2.49,1,5988039,17.3,28.6,26,3.53,3.14
Arkansas,Randolph County,51,7.4,82.5,31.7,14.5,28.6,62.2,74.4,76.6,2.33,0,159614,20.9,42.1,28.6,4.58,2.84
Arkansas,St. Francis County,45.5,6.1,78.7,29.8,9.5,19.7,48.3,68.2,58.7,2.49,0,378606,27.5,49.6,42.9,5.17,3.08
Arkansas,Saline County,50.6,6.2,90.1,32.5,25.5,26.1,77.4,87.7,77.7,2.65,1,369356,8,12.3,9.9,3.1,3.19
Arkansas,Scott County,49.6,6.5,78,27,10.2,19.7,53.2,72.9,75.1,2.65,0,85427,20.5,32.1,30.9,3.7,3.38
Arkansas,Searcy County,50.2,4.4,83.5,26.8,13.1,28.9,52.5,72.8,75,2.35,0,94251,17.4,17.4,17.9,4.54,2.82
Arkansas,Sebastian County,51,7.6,82.6,31.7,19,19,68.7,80.5,63.4,2.5,1,932613,22.5,33.7,33.3,3.7,3.06
Arkansas,Sevier County,50.4,7.4,71.8,26.3,10.6,25.8,65.7,77.3,74.2,2.85,0,100931,21.2,29.5,31.5,4.88,3.41
Arkansas,Sharp County,50.6,6.4,82.8,30.2,10.5,25,58.4,76.3,80.8,2.31,0,170626,23.3,48.6,34.3,5.4,2.96
Arkansas,Stone County,50.6,1.8,76.8,29.8,13.4,23.3,50.3,75.1,80.4,2.51,0,113460,24.2,26.1,36.7,5.12,3.2
Arkansas,Union County,51.3,5.2,83.9,27.5,20.1,19,60,71.4,71.2,2.44,0,393026,20.1,32.8,30.1,5.44,3.05
Arkansas,Van Buren County,50.1,4.9,84.8,26.4,12.9,27.9,58.2,76.7,78.5,2.41,0,154671,19.6,31.2,29.1,6.84,2.94
Arkansas,Washington County,50,5.1,84.2,25.7,31.9,21.5,75.3,89.8,56.3,2.56,1,1354700,18,24.7,20.9,2.73,3.17
Arkansas,White County,51,5.2,84.6,25.4,20.8,24,69.3,82.9,69,2.56,0,522076,16.6,19.7,19.3,5.17,3.15
